Cliente	Marca	Cupo	Total_Promociones	Prom_Duracion_dd	Total_Duracion_dd	Maxima_Duracion_dd	Minima_Duracion_dd	MinFecha_Desde	MaxFecha_Desde	Total_Promo_Ejecutadas	Prom_Duracion_Ejecutadas_dd	Total_Duracion_Ejecutadas_dd	Maxima_Duracion_Ejecutadas_dd	Minima_Duracion_Ejecutadas_dd	MinFecha_Ejecutadas_Desde	MaxFecha_Ejecutadas_Desde	FechaAltaCliente	Region	Gerencia	SubCanal	TipoPoblacion	Estrato	EF	Antiguedad_Cliente_EmpezoPromo_dd
6543	39	20	18	6.4444	116	22	0	5/09/2018	22/09/2019	1	9	9	9	0	7/03/2019	7/03/2019	16/12/2013	4	14	12	1	3	0	1724
7874	29	9	1	2	2	2	2	19/12/2018	19/12/2018	0	0	0	0	0	NULL	NULL	18/03/2015	5	19	12	2	2	1	1372
14088	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	21/08/2018	3	10	6	2	3	0	93
5424	40	16	23	7.4347	171	19	0	5/09/2018	22/09/2019	11	7	81	19	0	7/09/2018	11/07/2019	16/10/2011	3	9	15	2	2	0	2516
6426	39	20	24	6.3333	152	22	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	30/10/2013	3	9	15	2	2	1	1771
12249	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	6/12/2017	3	7	6	2	3	0	351
2730	40	16	12	6.9166	83	20	3	5/10/2018	27/08/2019	0	0	0	0	0	NULL	NULL	25/02/2010	1	23	9	2	3	0	3144
4704	39	20	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	11	9	2	2	0	2981
13008	40	16	6	6.8333	41	11	3	5/10/2018	8/11/2018	0	0	0	0	0	NULL	NULL	15/04/2018	4	26	9	1	1	0	173
4119	39	20	21	6.6666	140	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	27/04/2010	3	9	16	2	2	1	3053
6558	40	16	26	5.2692	137	20	0	5/09/2018	25/09/2019	0	0	0	0	0	NULL	NULL	22/12/2013	1	18	9	2	1	1	1718
13596	40	16	6	8.5	51	13	2	5/10/2018	27/08/2019	0	0	0	0	0	NULL	NULL	25/07/2018	1	16	6	2	3	0	72
4839	40	16	21	6.238	131	19	0	29/08/2018	22/09/2019	2	4	9	6	0	17/09/2018	8/01/2019	9/07/2010	5	12	15	1	2	0	2973
3183	39	20	20	6.45	129	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	9	2	3	0	3082
14517	39	20	1	4	4	4	4	24/01/2019	24/01/2019	0	0	0	0	0	NULL	NULL	9/11/2018	4	13	15	2	2	0	76
2439	29	9	5	7	35	11	3	13/04/2019	7/09/2019	0	0	0	0	0	NULL	NULL	24/02/2010	1	18	9	2	2	0	3335
4746	29	9	8	6.875	55	17	2	21/11/2018	15/09/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	12	6	1	2	1	3058
5892	40	16	22	7	154	19	0	31/08/2018	22/09/2019	6	7	45	13	0	31/08/2018	16/01/2019	19/02/2013	3	7	15	2	3	1	2019
14181	40	16	1	160	160	160	160	6/05/2019	6/05/2019	0	0	0	0	0	NULL	NULL	3/09/2018	4	14	9	2	1	0	245
5037	40	16	17	15.8823	270	160	0	5/09/2018	26/08/2019	1	160	160	160	0	6/05/2019	6/05/2019	10/11/2010	4	6	10	2	1	0	2856
8810	29	9	4	7	28	9	3	22/11/2018	5/09/2019	0	0	0	0	0	NULL	NULL	19/12/2015	3	9	22	2	2	0	1069
3612	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	31/03/2010	3	30	15	1	2	0	3158
6075	39	20	22	5.2272	115	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	30/05/2013	1	16	15	2	2	1	1924
11640	40	16	25	6.44	161	19	0	13/08/2018	22/09/2019	7	7	54	15	0	13/08/2018	7/08/2019	3/09/2017	3	8	15	2	2	0	344
10020	39	20	16	5.4375	87	11	0	5/09/2018	9/06/2019	0	0	0	0	0	NULL	NULL	12/10/2016	4	6	16	2	1	1	693
9786	39	20	7	5	35	9	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	1/09/2016	4	6	9	2	1	1	734
13476	40	16	2	82	164	160	4	24/01/2019	6/05/2019	0	0	0	0	0	NULL	NULL	9/07/2018	4	15	9	2	3	0	199
5099	29	9	5	7	35	10	3	9/05/2019	4/09/2019	0	0	0	0	0	NULL	NULL	27/01/2011	4	21	9	1	2	0	3024
12892	40	16	2	7.5	15	9	6	7/03/2019	7/03/2019	0	0	0	0	0	NULL	NULL	22/03/2018	4	13	1	2	2	0	350
3143	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	10	2	3	0	3160
4196	29	9	4	5.5	22	11	3	22/11/2018	15/05/2019	0	0	0	0	0	NULL	NULL	27/04/2010	3	9	6	2	3	1	3131
10000	40	16	4	7.75	31	11	3	5/10/2018	27/08/2019	0	0	0	0	0	NULL	NULL	10/10/2016	1	16	9	2	1	0	725
3786	40	16	19	6.1052	116	19	0	5/09/2018	22/09/2019	3	9	27	19	0	2/11/2018	11/07/2019	26/04/2010	3	10	15	2	1	0	3054
4587	39	20	20	6.45	129	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	11	9	2	2	0	2981
11742	39	20	21	5	105	20	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	26/09/2017	1	4	9	1	1	0	344
3666	40	16	21	6.1428	129	20	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	11/04/2010	1	18	9	2	3	0	3069
10821	40	16	2	10	20	11	9	5/10/2018	7/10/2018	0	0	0	0	0	NULL	NULL	23/03/2017	4	26	9	2	1	0	561
12678	39	20	17	5.1764	88	11	0	5/09/2018	7/03/2019	1	6	6	6	0	17/09/2018	17/09/2018	19/02/2018	1	20	9	2	1	0	198
879	39	20	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	14/09/2009	5	19	9	2	1	1	3278
877	29	9	1	4	4	4	4	17/08/2019	17/08/2019	0	0	0	0	0	NULL	NULL	14/09/2009	5	17	15	1	3	0	3624
3962	39	20	23	6.0434	139	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	27/04/2010	3	10	15	2	2	1	3053
6401	40	16	13	7.6923	100	20	3	31/08/2018	7/03/2019	0	0	0	0	0	NULL	NULL	21/10/2013	3	8	12	2	3	1	1775
7888	40	16	28	5.75	161	16	0	5/09/2018	22/09/2019	2	4	8	5	0	2/11/2018	8/11/2018	28/03/2015	1	20	15	2	3	1	1257
149	40	16	14	17.9285	251	160	0	5/09/2018	26/08/2019	0	0	0	0	0	NULL	NULL	11/06/2009	4	26	9	2	2	0	3373
2240	39	20	20	6.45	129	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	31/01/2010	3	25	15	1	2	1	3139
8105	39	20	2	10	20	11	9	5/10/2018	7/10/2018	0	0	0	0	0	NULL	NULL	24/05/2015	3	7	18	2	2	1	1230
10544	40	16	17	5.0588	86	11	0	5/09/2018	27/08/2019	0	0	0	0	0	NULL	NULL	7/02/2017	1	16	9	2	3	1	575
8708	40	16	27	8.1111	219	26	0	5/09/2018	7/08/2019	4	6	27	11	0	17/09/2018	7/03/2019	17/11/2015	3	32	9	1	2	1	1023
9959	40	16	20	6.5	130	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	3/10/2016	5	12	19	2	1	0	702
9007	39	20	19	6.5789	125	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	21/02/2016	4	21	22	2	2	1	927
2456	40	16	15	6.6	99	20	0	5/09/2018	27/08/2019	0	0	0	0	0	NULL	NULL	24/02/2010	1	18	9	2	2	0	3115
5798	39	20	17	4.8235	82	11	0	5/09/2018	24/01/2019	0	0	0	0	0	NULL	NULL	23/11/2012	3	9	12	2	2	1	2112
7129	29	9	3	8.3333	25	9	7	18/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	30/06/2014	4	6	12	2	1	1	1875
679	29	9	4	4.75	19	7	3	9/05/2019	18/08/2019	0	0	0	0	0	NULL	NULL	4/08/2009	4	13	9	2	1	0	3565
11116	39	20	5	4	20	9	0	5/09/2018	4/10/2018	0	0	0	0	0	NULL	NULL	4/06/2017	3	9	9	2	3	0	458
12502	40	16	18	6.5555	118	19	0	5/09/2018	22/09/2019	2	7	14	8	0	17/09/2018	16/10/2018	25/01/2018	4	26	16	2	1	1	223
14206	39	20	7	4.5714	32	8	3	2/11/2018	24/01/2019	0	0	0	0	0	NULL	NULL	6/09/2018	5	27	19	2	3	0	57
14283	29	9	3	8.3333	25	9	7	18/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	18/09/2018	4	26	16	2	3	0	334
602	39	20	3	3.6666	11	4	3	8/01/2019	24/01/2019	0	0	0	0	0	NULL	NULL	4/08/2009	3	24	24	2	2	0	3444
12970	40	16	11	6.7272	74	20	3	2/11/2018	11/09/2019	0	0	0	0	0	NULL	NULL	9/04/2018	1	18	6	2	2	0	207
4411	40	16	19	6.8947	131	20	0	5/09/2018	11/09/2019	0	0	0	0	0	NULL	NULL	28/05/2010	1	23	9	1	1	0	3022
10219	29	9	1	2	2	2	2	19/12/2018	19/12/2018	0	0	0	0	0	NULL	NULL	1/12/2016	5	27	16	2	3	1	748
12367	39	20	6	4.6666	28	9	0	5/09/2018	9/03/2019	0	0	0	0	0	NULL	NULL	22/12/2017	5	17	22	2	4	0	257
211	29	9	2	8	16	9	7	18/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	11/06/2009	4	26	22	1	2	0	3720
4745	39	20	11	7.1818	79	19	3	2/11/2018	7/08/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	12	9	1	1	0	3039
617	40	16	21	6.7619	142	19	0	5/09/2018	22/09/2019	1	5	5	5	0	2/11/2018	2/11/2018	4/08/2009	3	24	15	1	1	0	3319
10060	39	20	3	8	24	11	4	5/10/2018	24/01/2019	0	0	0	0	0	NULL	NULL	20/10/2016	4	26	9	1	1	0	715
12328	29	9	5	6.2	31	9	3	22/11/2018	5/09/2019	0	0	0	0	0	NULL	NULL	19/12/2017	3	25	7	2	3	0	338
14438	39	20	3	3.6666	11	4	3	8/01/2019	24/01/2019	0	0	0	0	0	NULL	NULL	22/10/2018	5	19	9	2	2	0	78
7052	39	20	20	6.95	139	22	0	5/09/2018	22/09/2019	3	12	37	22	0	7/09/2018	24/01/2019	2/06/2014	4	14	9	1	2	1	1556
13502	39	20	17	6.2352	106	19	0	5/09/2018	11/07/2019	0	0	0	0	0	NULL	NULL	13/07/2018	3	9	1	2	2	0	54
13555	40	16	7	32.1428	225	160	4	5/10/2018	6/05/2019	0	0	0	0	0	NULL	NULL	19/07/2018	4	13	10	2	1	0	78
409	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	4/08/2009	3	24	10	1	1	0	3397
3454	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	30/03/2010	3	28	15	1	2	0	3159
14221	40	16	10	5.5	55	13	3	2/11/2018	22/09/2019	0	0	0	0	0	NULL	NULL	9/09/2018	5	12	9	2	1	0	54
10687	29	9	3	8.3333	25	9	7	18/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	2/03/2017	1	20	9	2	2	1	899
2986	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	15	2	2	0	3160
1264	29	9	4	10.5	42	17	7	4/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	12/10/2009	4	15	16	2	2	1	3583
6854	39	20	15	5.6	84	11	0	5/09/2018	26/08/2019	0	0	0	0	0	NULL	NULL	30/03/2014	4	21	9	2	1	0	1620
11899	39	20	23	5.826	134	20	0	5/09/2018	22/09/2019	2	7	14	9	0	5/10/2018	2/11/2018	12/10/2017	1	18	16	2	2	0	328
3977	40	16	26	6.3461	165	22	0	12/08/2018	22/09/2019	4	6	27	9	0	12/08/2018	7/03/2019	27/04/2010	3	10	12	2	2	1	3029
6386	39	20	26	5.7692	150	20	0	5/09/2018	22/09/2019	2	8	17	12	0	11/09/2018	16/10/2018	15/10/2013	1	23	16	2	3	1	1786
14690	40	16	1	6	6	6	6	14/08/2019	14/08/2019	1	6	6	6	6	14/08/2019	14/08/2019	10/12/2018	1	5	6	2	2	1	247
14751	29	9	4	7	28	10	1	18/08/2019	4/09/2019	0	0	0	0	0	NULL	NULL	24/12/2018	5	33	10	2	1	1	237
134	39	20	13	5.3076	69	11	0	5/09/2018	26/08/2019	0	0	0	0	0	NULL	NULL	11/06/2009	4	26	12	2	3	1	3373
14303	40	16	18	6.6666	120	19	0	5/10/2018	22/09/2019	3	5	17	9	0	5/10/2018	8/11/2018	23/09/2018	1	16	16	2	1	0	12
1906	40	16	17	5.647	96	13	0	5/09/2018	27/08/2019	3	4	14	6	0	17/09/2018	8/01/2019	9/11/2009	1	16	9	1	1	1	3222
12836	39	20	12	6.5833	79	16	0	7/09/2018	22/09/2019	1	9	9	9	0	7/03/2019	7/03/2019	14/03/2018	1	5	12	2	2	1	177
14087	39	20	19	6.6315	126	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	20/08/2018	4	21	16	2	3	0	16
2337	40	16	2	7	14	11	3	4/06/2019	18/09/2019	0	0	0	0	0	NULL	NULL	18/02/2010	5	12	9	1	1	0	3393
5801	39	20	22	5.8636	129	16	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	27/11/2012	1	5	9	2	3	0	2108
9474	29	9	3	8.3333	25	9	7	18/08/2019	5/09/2019	0	0	0	0	0	NULL	NULL	22/06/2016	4	14	9	1	3	1	1152
1853	39	20	5	7.8	39	11	4	7/09/2018	7/10/2018	0	0	0	0	0	NULL	NULL	9/11/2009	1	5	15	2	2	0	3224
5543	40	16	20	6.45	129	19	0	5/09/2018	22/09/2019	1	4	4	4	0	16/01/2019	16/01/2019	22/02/2012	3	7	20	2	4	0	2387
9921	40	16	24	8.125	195	18	0	13/08/2018	11/09/2019	2	13	26	17	0	13/08/2018	12/10/2018	26/09/2016	3	32	15	1	3	0	686
12172	39	20	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	16/11/2017	5	11	9	2	2	0	293
330	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	4/08/2009	3	24	15	2	2	1	3397
3707	40	16	26	7.423	193	19	0	13/08/2018	22/09/2019	10	9	91	19	0	13/08/2018	11/07/2019	25/04/2010	3	7	15	2	2	1	3032
10450	39	20	14	5.7142	80	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	20/01/2017	4	6	12	2	1	1	593
13517	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	15/07/2018	5	12	9	2	2	0	52
4509	39	20	18	5.8888	106	13	0	5/09/2018	11/09/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	11	10	2	1	1	2981
5878	29	9	5	7.4	37	9	3	22/11/2018	5/09/2019	1	3	3	3	0	22/11/2018	22/11/2018	12/02/2013	3	8	15	2	3	1	2109
3222	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	9	2	3	0	3160
7558	39	20	24	5.9583	143	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	7/12/2014	3	32	15	2	1	0	1368
2651	40	16	22	6.0454	133	20	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	25/02/2010	1	18	9	2	2	0	3114
3690	29	9	6	7.3333	44	11	3	22/11/2018	5/09/2019	0	0	0	0	0	NULL	NULL	25/04/2010	3	7	9	2	2	0	3133
9453	40	16	23	5.1739	119	22	0	5/09/2018	22/09/2019	14	6	85	22	0	5/09/2018	7/08/2019	16/06/2016	5	12	25	1	2	1	811
13049	40	16	15	17.4666	262	160	0	5/09/2018	6/05/2019	0	0	0	0	0	NULL	NULL	24/04/2018	4	6	9	2	2	0	134
4666	39	20	20	6.45	129	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	11	9	2	3	1	2981
3065	29	9	4	5.5	22	11	3	22/11/2018	15/05/2019	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	9	2	2	1	3160
13384	29	9	1	4	4	4	4	17/08/2019	17/08/2019	0	0	0	0	0	NULL	NULL	25/06/2018	5	27	9	1	2	1	418
4943	39	20	12	6.0833	73	11	3	5/10/2018	7/03/2019	0	0	0	0	0	NULL	NULL	27/09/2010	5	31	9	2	2	0	2930
10728	29	9	2	3	6	3	3	22/11/2018	15/05/2019	0	0	0	0	0	NULL	NULL	8/03/2017	3	9	9	2	2	1	624
4001	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	27/04/2010	3	10	24	2	3	0	3131
6520	40	16	4	4	16	5	3	8/01/2019	24/01/2019	0	0	0	0	0	NULL	NULL	8/12/2013	1	20	16	1	2	0	1857
13674	40	16	5	5.2	26	9	3	8/01/2019	7/03/2019	0	0	0	0	0	NULL	NULL	5/08/2018	5	27	9	2	1	0	156
3533	29	9	4	8	32	11	3	22/11/2018	5/09/2019	0	0	0	0	0	NULL	NULL	31/03/2010	3	8	15	2	2	1	3158
13852	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	10/08/2018	3	24	15	2	1	0	104
14713	29	9	4	7	28	9	3	15/05/2019	5/09/2019	0	0	0	0	0	NULL	NULL	14/12/2018	4	21	9	2	1	0	152
3730	39	20	20	6.4	128	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	26/04/2010	3	7	22	2	3	0	3054
5410	29	9	5	8.6	43	11	7	13/04/2019	5/09/2019	0	0	0	0	0	NULL	NULL	5/10/2011	1	16	9	2	3	1	2747
5328	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	19/07/2011	3	8	9	2	2	0	2683
10024	29	9	2	9	18	9	9	5/09/2019	5/09/2019	0	0	0	0	0	NULL	NULL	13/10/2016	1	20	9	2	1	0	1057
12581	40	16	3	58.3333	175	160	6	7/03/2019	6/05/2019	0	0	0	0	0	NULL	NULL	4/02/2018	4	14	9	2	1	0	396
70	40	16	1	160	160	160	160	6/05/2019	6/05/2019	0	0	0	0	0	NULL	NULL	8/05/2009	4	22	23	1	4	1	3650
6011	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	25/04/2013	5	12	9	2	2	0	1959
11704	39	20	5	6.2	31	11	3	5/10/2018	24/01/2019	0	0	0	0	0	NULL	NULL	14/09/2017	3	28	1	1	2	0	386
4289	40	16	30	5.5333	166	16	0	13/08/2018	22/09/2019	5	6	31	10	0	13/08/2018	12/11/2018	4/05/2010	1	20	15	1	1	1	3023
6304	39	20	18	5.8888	106	13	0	5/09/2018	11/09/2019	0	0	0	0	0	NULL	NULL	11/09/2013	3	8	9	2	2	1	1820
8985	40	16	20	6.45	129	19	0	5/09/2018	22/09/2019	3	5	17	8	0	2/11/2018	16/01/2019	15/02/2016	3	10	10	2	2	0	933
11000	39	20	21	6.2857	132	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	4/05/2017	3	30	9	2	2	0	489
14926	40	16	2	3.5	7	4	3	4/06/2019	9/06/2019	0	0	0	0	0	NULL	NULL	1/02/2019	4	21	6	2	3	0	123
4786	39	20	19	6.5789	125	19	0	5/09/2018	11/09/2019	0	0	0	0	0	NULL	NULL	8/07/2010	5	12	9	2	2	0	2981
10727	39	20	22	5.1818	114	13	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	8/03/2017	5	17	9	2	3	0	546
4041	39	20	23	6.3478	146	22	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	27/04/2010	3	9	15	2	2	1	3053
8026	39	20	22	6.7272	148	22	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	4/05/2015	5	29	12	2	3	1	1220
11836	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	4/10/2017	3	10	9	2	1	0	336
10918	39	20	2	10	20	11	9	5/10/2018	7/10/2018	0	0	0	0	0	NULL	NULL	17/04/2017	5	12	9	2	2	0	536
10584	40	16	11	5.5454	61	11	0	5/09/2018	8/11/2018	0	0	0	0	0	NULL	NULL	14/02/2017	3	10	9	2	3	0	568
13968	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	12/08/2018	3	30	18	2	3	0	102
8771	39	20	11	5.5454	61	11	0	5/09/2018	8/11/2018	0	0	0	0	0	NULL	NULL	9/12/2015	4	26	16	1	1	0	1001
8944	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	3	3	11	6	0	5/09/2018	16/01/2019	4/02/2016	5	11	9	2	1	1	944
11877	40	16	15	6.0666	91	20	0	5/09/2018	27/08/2019	0	0	0	0	0	NULL	NULL	10/10/2017	1	23	17	2	2	0	330
1774	39	20	3	6.3333	19	9	4	7/09/2018	20/09/2018	0	0	0	0	0	NULL	NULL	9/11/2009	1	5	18	2	4	0	3224
894	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	0	0	0	0	0	NULL	NULL	14/09/2009	5	19	9	2	3	0	3278
6384	29	9	1	7	7	7	7	18/08/2019	18/08/2019	0	0	0	0	0	NULL	NULL	14/10/2013	1	18	12	2	2	1	2134
8850	39	20	5	11.2	56	19	4	5/10/2018	26/08/2019	0	0	0	0	0	NULL	NULL	5/01/2016	4	26	9	1	1	1	1004
8865	40	16	21	5.9523	125	16	0	5/09/2018	22/09/2019	4	11	45	16	0	7/10/2018	7/08/2019	11/01/2016	1	5	15	2	2	0	968
4046	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	27/04/2010	3	9	9	2	2	0	3131
5876	39	20	22	7.6363	168	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	7/02/2013	3	9	15	2	2	0	2036
11839	40	16	19	7.6842	146	22	0	5/09/2018	26/08/2019	2	8	16	9	0	5/10/2018	16/10/2018	6/10/2017	4	21	6	2	2	1	334
8967	39	20	5	4	20	9	0	5/09/2018	4/10/2018	0	0	0	0	0	NULL	NULL	10/02/2016	5	29	24	1	5	0	938
2416	40	16	25	5.96	149	22	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	24/02/2010	1	18	15	2	3	1	3115
4722	40	16	4	5	20	9	1	5/09/2018	20/09/2018	0	0	0	0	0	NULL	NULL	8/07/2010	5	12	9	2	2	0	2981
5249	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	1/04/2011	3	9	22	2	2	0	2792
9945	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	2/10/2016	3	9	9	2	2	0	781
13828	40	16	11	6.7272	74	19	3	2/11/2018	22/09/2019	3	12	36	19	0	24/01/2019	7/08/2019	10/08/2018	3	25	1	2	1	0	84
1695	39	20	2	16	32	19	13	11/07/2019	7/08/2019	0	0	0	0	0	NULL	NULL	9/11/2009	5	31	24	2	3	0	3531
7914	39	20	27	6.7407	182	20	0	5/09/2018	22/09/2019	7	5	38	9	0	11/09/2018	16/01/2019	5/04/2015	1	4	12	2	3	0	1249
10117	40	16	18	5.7777	104	18	0	29/08/2018	24/01/2019	2	6	13	9	0	19/10/2018	12/11/2018	7/11/2016	5	11	15	2	2	0	660
10839	39	20	21	6.0476	127	20	0	5/09/2018	22/09/2019	3	6	19	9	0	17/09/2018	24/01/2019	2/04/2017	1	18	18	2	3	1	521
1360	40	16	16	16.625	266	160	0	5/09/2018	6/05/2019	0	0	0	0	0	NULL	NULL	12/10/2009	4	15	15	2	3	1	3250
6971	29	9	5	6.6	33	9	3	9/05/2019	5/09/2019	0	0	0	0	0	NULL	NULL	9/05/2014	4	6	9	2	1	0	1826
10179	29	9	4	6.75	27	9	2	19/12/2018	5/09/2019	0	0	0	0	0	NULL	NULL	20/11/2016	5	27	16	1	1	1	759
6036	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	13/05/2013	3	10	15	1	1	1	2019
11901	29	9	5	5.8	29	11	3	22/11/2018	18/08/2019	0	0	0	0	0	NULL	NULL	12/10/2017	3	8	9	2	2	0	406
760	39	20	2	2.5	5	4	1	5/09/2018	7/09/2018	0	0	0	0	0	NULL	NULL	13/09/2009	5	19	12	1	2	0	3279
2984	39	20	21	6.6666	140	19	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	29/03/2010	3	8	15	2	3	1	3082
6909	40	16	21	5.3809	113	22	0	5/09/2018	7/08/2019	11	5	60	13	0	5/09/2018	7/08/2019	21/04/2014	3	24	11	2	3	1	1598
