Cosecha	Cliente	Marca	Cupo	Total_Promociones	Prom_Duracion_dd	Total_Duracion_dd	Maxima_Duracion_dd	Minima_Duracion_dd	MinFecha_Desde	MaxFecha_Desde	Total_Promo_Ejecutadas	Prom_Duracion_Ejecutadas_dd	Total_Duracion_Ejecutadas_dd	Maxima_Duracion_Ejecutadas_dd	Minima_Duracion_Ejecutadas_dd	MinFecha_Ejecutadas_Desde	MaxFecha_Ejecutadas_Desde	Total_Promociones_Prev	Prom_Duracion_dd_Prev	Total_Duracion_dd_Prev	Maxima_Duracion_dd_Prev	Minima_Duracion_dd_Prev	MinFecha_Desde_Prev	MaxFecha_Desde_Prev	Total_Promo_Ejecutadas_Prev	Prom_Duracion_Ejecutadas_dd_Prev	Total_Duracion_Ejecutadas_dd_Prev	Maxima_Duracion_Ejecutadas_dd_Prev	Minima_Duracion_Ejecutadas_dd_Prev	MinFecha_Ejecutadas_Desde_Prev	MaxFecha_Ejecutadas_Desde_Prev	FechaAltaCliente	Region	Gerencia	SubCanal	TipoPoblacion	Estrato	EF	Antiguedad_Cliente_dd	NroVecesCompra	Total_Net_Revenue	Total_Net_Volumen	Total_Dcto	Max_Net_Revenue	Max_Net_Volumen	Max_Dcto	Min_Net_Revenue	Min_Net_Volumen	Min_Dcto	Total_Net_Revenue_Clase_Envase_1	Total_Net_Volumen_Clase_Envase_1	Total_Net_Dscto_Clase_Envase_1	Total_Net_Revenue_Clase_Envase_2	Total_Net_Volumen_Clase_Envase_2	Total_Net_Dscto_Clase_Envase_2	Total_Net_Revenue_Clase_Envase_3	Total_Net_Volumen_Clase_Envase_3	Total_Net_Dscto_Clase_Envase_3	Total_Net_Revenue_Clase_SegmentoPrecio_1	Total_Net_Volumen_Clase_SegmentoPrecio_1	Total_Net_Dscto_Clase_SegmentoPrecio_1	Total_Net_Revenue_Clase_SegmentoPrecio_2	Total_Net_Volumen_Clase_SegmentoPrecio_2	Total_Net_Dscto_Clase_SegmentoPrecio_2	Total_Net_Revenue_Clase_SegmentoPrecio_3	Total_Net_Volumen_Clase_SegmentoPrecio_3	Total_Net_Dscto_Clase_SegmentoPrecio_3	Total_Net_Revenue_Clase_SegmentoPrecio_4	Total_Net_Volumen_Clase_SegmentoPrecio_4	Total_Net_Dscto_Clase_SegmentoPrecio_4	UltimoAñoMesVenta	Ultimo_Total_Net_Revenue	Ultimo_Total_Net_Volumen	Ultimo_Total_Dcto	Ultimo_Total_Net_Revenue_Clase_Envase_1	Ultimo_Total_Net_Volumen_Clase_Envase_1	Ultimo_Total_Net_Dscto_Clase_Envase_1	Ultimo_Total_Net_Revenue_Clase_Envase_2	Ultimo_Total_Net_Volumen_Clase_Envase_2	Ultimo_Total_Net_Dscto_Clase_Envase_2	Ultimo_Total_Net_Revenue_Clase_Envase_3	Ultimo_Total_Net_Volumen_Clase_Envase_3	Ultimo_Total_Net_Dscto_Clase_Envase_3	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_4	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_4	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_4
201808	10112	39	20	1	17	17	17	17	13/08/2018	13/08/2018	1	17	17	17	17	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	4/11/2016	1	18	12	2	3	1	647	7	2532931.57	8.65	-288075.78	573174.04	1.81	-3920.13	7798.84	0.42	-129600	0	0	0	2532931.57	8.65	-288075.78	0	0	0	2532931.57	8.65	-288075.78	0	0	0	0	0	0	0	0	0	201807	573174	2	-13838	0	0	0	573174	2	-13838	0	0	0	573174	2	-13838	0	0	0	0	0	0	0	0	0
201808	10088	39	20	1	18	18	18	18	13/08/2018	13/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	28/10/2016	1	23	9	2	3	0	654	7	524471.95	1.86	-80749.78	95952.32	0.36	0	59558.78	0.21	-26150.56	0	0	0	524471.95	1.86	-80749.78	0	0	0	524471.95	1.86	-80749.78	0	0	0	0	0	0	0	0	0	201807	95952	0	-18152	0	0	0	95952	0	-18152	0	0	0	95952	0	-18152	0	0	0	0	0	0	0	0	0
201808	10121	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	8/11/2016	5	27	12	2	2	0	659	7	4071616.08	12.58	-14851.02	868098.98	2.67	0	240532.3	0.74	-9874.49	0	0	0	4071616.08	12.58	-14851.02	0	0	0	4071616.08	12.58	-14851.02	0	0	0	0	0	0	0	0	0	201807	240532	1	0	0	0	0	240532	1	0	0	0	0	240532	1	0	0	0	0	0	0	0	0	0	0
201808	10131	40	16	1	14	14	14	14	31/08/2018	31/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	9/11/2016	3	24	15	2	2	0	660	7	237277.47	0.78	-11192.61	67439.42	0.21	0	9496.28	0.03	-9450	0	0	0	237277.47	0.78	-11192.61	0	0	0	237277.47	0.78	-11192.61	0	0	0	0	0	0	0	0	0	201807	9496	0	0	0	0	0	9496	0	0	0	0	0	9496	0	0	0	0	0	0	0	0	0	0	0
201808	10094	40	16	2	4.5	9	7	2	13/08/2018	29/08/2018	2	4	9	7	2	13/08/2018	29/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	1/11/2016	5	11	6	2	2	1	666	7	15411491.22	49.34	-299766.75	3754525.51	12.03	0	1339154.22	4.13	-92224.41	0	0	0	15411491.22	49.34	-299766.75	0	0	0	15411491.22	49.34	-299766.75	0	0	0	0	0	0	0	0	0	201807	3754526	12	-92224	0	0	0	3754526	12	-92224	0	0	0	3754526	12	-92224	0	0	0	0	0	0	0	0	0
201808	10104	40	16	2	2.5	5	3	2	13/08/2018	29/08/2018	1	3	3	3	0	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	2/11/2016	5	33	9	2	2	0	665	6	654159.67	2.21	-33395.48	200342.91	0.68	0	47406.37	0.15	-29494.71	0	0	0	654159.67	2.21	-33395.48	0	0	0	654159.67	2.21	-33395.48	0	0	0	0	0	0	0	0	0	201806	62605	0	-3901	0	0	0	62605	0	-3901	0	0	0	62605	0	-3901	0	0	0	0	0	0	0	0	0
201808	10156	40	16	2	5.5	11	9	2	13/08/2018	29/08/2018	1	9	9	9	0	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/11/2016	5	17	9	2	3	0	653	7	942865.54	3.06	-32529.7	183768.22	0.62	0	77073.62	0.24	-15783.09	0	0	0	942865.54	3.06	-32529.7	0	0	0	942865.54	3.06	-32529.7	0	0	0	0	0	0	0	0	0	201807	183768	1	-15783	0	0	0	183768	1	-15783	0	0	0	183768	1	-15783	0	0	0	0	0	0	0	0	0
201808	10165	40	16	1	7	7	7	7	13/08/2018	13/08/2018	1	7	7	7	7	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	17/11/2016	3	32	15	2	1	0	634	7	583802.89	2.06	-74210.71	123719	0.42	0	35597.88	0.15	-18025.51	0	0	0	583802.89	2.06	-74210.71	0	0	0	583802.89	2.06	-74210.71	0	0	0	0	0	0	0	0	0	201807	53472	0	-13110	0	0	0	53472	0	-13110	0	0	0	53472	0	-13110	0	0	0	0	0	0	0	0	0
201808	10114	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	4/11/2016	5	33	9	2	1	1	663	7	483284.21	1.53	-4252	114594.91	0.36	0	37985.12	0.12	-3893.36	0	0	0	483284.21	1.53	-4252	0	0	0	483284.21	1.53	-4252	0	0	0	0	0	0	0	0	0	201807	37985	0	0	0	0	0	37985	0	0	0	0	0	37985	0	0	0	0	0	0	0	0	0	0	0
201808	10116	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	7/11/2016	5	29	9	2	3	0	660	5	367317.15	1.17	-5653.36	154147.25	0.48	0	9549.58	0.03	-4356.53	0	0	0	367317.15	1.17	-5653.36	0	0	0	367317.15	1.17	-5653.36	0	0	0	0	0	0	0	0	0	201807	62153	0	-4357	0	0	0	62153	0	-4357	0	0	0	62153	0	-4357	0	0	0	0	0	0	0	0	0
201808	10117	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	7/11/2016	5	11	15	2	2	0	660	6	91449.03	0.33	-13560.36	27225.52	0.09	0	9496.28	0.03	-11953.17	0	0	0	91449.03	0.33	-13560.36	0	0	0	91449.03	0.33	-13560.36	0	0	0	0	0	0	0	0	0	201807	9496	0	0	0	0	0	9496	0	0	0	0	0	9496	0	0	0	0	0	0	0	0	0	0	0
201808	10119	40	16	1	14	14	14	14	31/08/2018	31/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	7/11/2016	3	10	16	2	2	1	662	7	1723645.56	5.47	-26152.29	438461.94	1.46	0	76970.34	0.24	-18974.84	0	0	0	1723645.56	5.47	-26152.29	0	0	0	1723645.56	5.47	-26152.29	0	0	0	0	0	0	0	0	0	201807	76970	0	0	0	0	0	76970	0	0	0	0	0	76970	0	0	0	0	0	0	0	0	0	0	0
201808	10207	40	16	2	9.5	19	14	5	13/08/2018	31/08/2018	2	9	19	14	5	13/08/2018	31/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	25/11/2016	3	8	12	2	3	0	644	6	2851692.75	10.1	-392905.79	1005014.12	3.27	0	48106.46	0.15	-247656.63	0	0	0	2851692.75	10.1	-392905.79	0	0	0	2851692.75	10.1	-392905.79	0	0	0	0	0	0	0	0	0	201807	308426	1	-77058	0	0	0	308426	1	-77058	0	0	0	308426	1	-77058	0	0	0	0	0	0	0	0	0
201808	10221	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	1/12/2016	5	12	9	2	2	0	636	7	1906698.56	6.08	-13069.59	718251.19	2.29	0	95495.76	0.3	-13069.59	0	0	0	1906698.56	6.08	-13069.59	0	0	0	1906698.56	6.08	-13069.59	0	0	0	0	0	0	0	0	0	201807	718251	2	-13070	0	0	0	718251	2	-13070	0	0	0	718251	2	-13070	0	0	0	0	0	0	0	0	0
201808	10233	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	2/12/2016	5	12	9	2	3	0	635	7	430780.43	1.44	-27786.9	75795.17	0.27	0	28488.84	0.09	-24537.97	0	0	0	430780.43	1.44	-27786.9	0	0	0	430780.43	1.44	-27786.9	0	0	0	0	0	0	0	0	0	201807	28489	0	0	0	0	0	28489	0	0	0	0	0	28489	0	0	0	0	0	0	0	0	0	0	0
201808	1025	40	16	1	14	14	14	14	31/08/2018	31/08/2018	1	14	14	14	14	31/08/2018	31/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	17/09/2009	3	32	15	1	3	0	3270	7	1205054.68	3.9	-34498.16	256749.9	0.83	0	114622.76	0.39	-23859.93	0	0	0	1205054.68	3.9	-34498.16	0	0	0	1205054.68	3.9	-34498.16	0	0	0	0	0	0	0	0	0	201807	132948	0	0	0	0	0	132948	0	0	0	0	0	132948	0	0	0	0	0	0	0	0	0	0	0
201808	10179	40	16	2	7.5	15	13	2	12/08/2018	29/08/2018	1	13	13	13	0	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	20/11/2016	5	27	16	1	1	1	647	7	8835494.04	28.65	-416479.19	1608753.16	5.41	0	954102.11	3.27	-163490.73	0	0	0	8835494.04	28.65	-416479.19	0	0	0	8835494.04	28.65	-416479.19	0	0	0	0	0	0	0	0	0	201807	1077613	3	-19374	0	0	0	1077613	3	-19374	0	0	0	1077613	3	-19374	0	0	0	0	0	0	0	0	0
201808	10143	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	11/11/2016	5	27	16	2	4	1	656	7	1733402.08	5.3	-3952.12	402382.32	1.22	0	174615.1	0.53	-3952.12	0	0	0	1733402.08	5.3	-3952.12	0	0	0	1733402.08	5.3	-3952.12	0	0	0	0	0	0	0	0	0	201807	211668	1	0	0	0	0	211668	1	0	0	0	0	211668	1	0	0	0	0	0	0	0	0	0	0
201808	10312	40	16	2	11	22	11	11	12/08/2018	12/08/2018	2	11	22	11	11	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	18/12/2016	3	24	9	2	1	1	602	7	837386.38	3.63	-334750.79	426628.01	1.43	0	-22560.58	0.15	-115967.03	0	0	0	837386.38	3.63	-334750.79	0	0	0	837386.38	3.63	-334750.79	0	0	0	0	0	0	0	0	0	201807	102765	1	-115967	0	0	0	102765	1	-115967	0	0	0	102765	1	-115967	0	0	0	0	0	0	0	0	0
201808	10197	40	16	1	6	6	6	6	12/08/2018	12/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	24/11/2016	1	20	15	2	4	0	626	7	915562.69	2.91	-13156.33	181441.94	0.56	0	56308.51	0.18	-6930.23	0	0	0	915562.69	2.91	-13156.33	0	0	0	915562.69	2.91	-13156.33	0	0	0	0	0	0	0	0	0	201807	129336	0	-3642	0	0	0	129336	0	-3642	0	0	0	129336	0	-3642	0	0	0	0	0	0	0	0	0
201808	10199	40	16	1	7	7	7	7	13/08/2018	13/08/2018	1	7	7	7	7	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	24/11/2016	3	30	9	2	3	1	627	7	1059829.34	3.49	-67976.13	192684.06	0.62	0	85466.53	0.27	-28128.97	0	0	0	1059829.34	3.49	-67976.13	0	0	0	1059829.34	3.49	-67976.13	0	0	0	0	0	0	0	0	0	201807	133803	0	-8713	0	0	0	133803	0	-8713	0	0	0	133803	0	-8713	0	0	0	0	0	0	0	0	0
201808	1018	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	9	2	3	0	3271	7	473148.63	1.54	-15578.38	149364.92	0.5	0	7577.02	0.02	-12977.87	0	0	0	473148.63	1.54	-15578.38	0	0	0	473148.63	1.54	-15578.38	0	0	0	0	0	0	0	0	0	201807	37985	0	0	0	0	0	37985	0	0	0	0	0	37985	0	0	0	0	0	0	0	0	0	0	0
201808	10184	40	16	1	19	19	19	19	12/08/2018	12/08/2018	1	19	19	19	19	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	22/11/2016	5	27	25	2	2	1	628	7	16379119.89	55	-1201225.81	4500496.34	14.85	0	726525.46	3.65	-452357.06	0	0	0	16379119.89	55	-1201225.81	0	0	0	16379119.89	55	-1201225.81	0	0	0	0	0	0	0	0	0	201807	726525	4	-452357	0	0	0	726525	4	-452357	0	0	0	726525	4	-452357	0	0	0	0	0	0	0	0	0
201808	1021	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	12	1	2	1	3271	7	2740277.86	8.7	-89050.79	1667145.75	5.41	0	77606.71	0.24	-84623.33	0	0	0	2740277.86	8.7	-89050.79	0	0	0	2740277.86	8.7	-89050.79	0	0	0	0	0	0	0	0	0	201807	163562	1	0	0	0	0	163562	1	0	0	0	0	163562	1	0	0	0	0	0	0	0	0	0	0
201808	1019	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	15	2	2	1	3271	7	1319081.17	4.34	-76851.81	278392.96	0.89	0	121432.74	0.5	-40334.78	0	0	0	1319081.17	4.34	-76851.81	0	0	0	1319081.17	4.34	-76851.81	0	0	0	0	0	0	0	0	0	201807	121433	1	-40335	0	0	0	121433	1	-40335	0	0	0	121433	1	-40335	0	0	0	0	0	0	0	0	0
201808	10216	40	16	2	3	6	4	2	12/08/2018	29/08/2018	1	4	4	4	0	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	28/11/2016	5	33	15	2	1	1	639	7	1323552.76	4.45	-109882.18	308294.5	0.95	0	58801.01	0.33	-45988.82	0	0	0	1323552.76	4.45	-109882.18	0	0	0	1323552.76	4.45	-109882.18	0	0	0	0	0	0	0	0	0	201807	58801	0	-45989	0	0	0	58801	0	-45989	0	0	0	58801	0	-45989	0	0	0	0	0	0	0	0	0
201808	10341	40	16	1	17	17	17	17	13/08/2018	13/08/2018	1	17	17	17	17	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	26/12/2016	4	21	9	2	2	1	595	6	565932.6	1.96	-59853.69	182161.46	0.59	0	19268.41	0.06	-18151.89	0	0	0	565932.6	1.96	-59853.69	0	0	0	565932.6	1.96	-59853.69	0	0	0	0	0	0	0	0	0	201807	114945	0	-18152	0	0	0	114945	0	-18152	0	0	0	114945	0	-18152	0	0	0	0	0	0	0	0	0
